guid,country,flag,map,tags
e+/O]%*qfk,England,"<img src=""ug-flag-england.svg"" />","<img src=""ug-map-england.png"" />",UG::Europe
h~5xz+=ke~,Scotland,"<img src=""ug-flag-scotland.svg"" />","<img src=""ug-map-scotland.png"" />",UG::Europe
s9-GL*@AXD,United Kingdom,"<img src=""ug-flag-united_kingdom.svg"" />","<img src=""ug-map-united_kingdom.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
cPO|Cru8n<,Northern Ireland,,"<img src=""ug-map-northern_ireland.png"" />",UG::Europe
m*#%sE.`.;,France,"<img src=""ug-flag-france.svg"" />","<img src=""ug-map-france.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State"
hNE9}>;Q&-,Wales,"<img src=""ug-flag-wales.svg"" />","<img src=""ug-map-wales.png"" />",UG::Europe
jN|NAUP*h},Georgia,"<img src=""ug-flag-georgia.svg"" />","<img src=""ug-map-georgia.png"" />","UG::Europe, UG::Sovereign_State"
"j|z@PMgdx,",Germany,"<img src=""ug-flag-germany.svg"" />","<img src=""ug-map-germany.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
n+t>2`:;P/,Greece,"<img src=""ug-flag-greece.svg"" />","<img src=""ug-map-greece.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State"
ilGtw#=asM,Greenland,"<img src=""ug-flag-greenland.svg"" />","<img src=""ug-map-greenland.png"" />",UG::North_America
mcc&0Kq^xE,Hungary,"<img src=""ug-flag-hungary.svg"" />","<img src=""ug-map-hungary.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
gz9${p}er*,Albania,"<img src=""ug-flag-albania.svg"" />","<img src=""ug-map-albania.png"" />","UG::Europe, UG::Mediterranean, UG::Sovereign_State"
dY96`C-f(_,Andorra,"<img src=""ug-flag-andorra.png"" />","<img src=""ug-map-andorra.png"" />","UG::Europe, UG::Sovereign_State"
r>aI-$$|wT,Austria,"<img src=""ug-flag-austria.svg"" />","<img src=""ug-map-austria.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
"k9E.p^<u$,",Azerbaijan,"<img src=""ug-flag-azerbaijan.svg"" />","<img src=""ug-map-azerbaijan.png"" />","UG::Europe, UG::Sovereign_State"
l$zM~ihPFE,Belarus,"<img src=""ug-flag-belarus.svg"" />","<img src=""ug-map-belarus.png"" />","UG::Europe, UG::Sovereign_State"
jTNoKo}Bu+,Belgium,"<img src=""ug-flag-belgium.svg"" />","<img src=""ug-map-belgium.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
mz[>>AxIr4,Bosnia and Herzegovina,"<img src=""ug-flag-bosnia_and_herzegovina.svg"" />","<img src=""ug-map-bosnia_and_herzegovina.png"" />","UG::Europe, UG::Mediterranean, UG::Sovereign_State"
u4^lH.xem5,Bulgaria,"<img src=""ug-flag-bulgaria.svg"" />","<img src=""ug-map-bulgaria.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
bk2ByZIeU+,Croatia,"<img src=""ug-flag-croatia.png"" />","<img src=""ug-map-croatia.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State"
twrhzJ[k:Z,Czech Republic,"<img src=""ug-flag-czech_republic.svg"" />","<img src=""ug-map-czech_republic.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
kS)hDm%w}R,Denmark,"<img src=""ug-flag-denmark.svg"" />","<img src=""ug-map-denmark.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
