country,capital,capital:de,capital:es,capital:fr,capital:nb,capital:cs,capital:ru,capital:nl,capital:sv,capital:pt
England,London,London,Londres,Londres,London,Londýn,Лондон,Londen,London,Londres
Scotland,Edinburgh,Edinburgh,Edimburgo,Édimbourg,Edinburgh,Edinburgh,Эдинбург,Edinburgh,Edinburgh,Edimburgo
United Kingdom,London,London,Londres,Londres,London,Londýn,Лондон,Londen,London,Londres
Northern Ireland,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Белфаст,Belfast,Belfast,Belfaste
France,Paris,Paris,París,Paris,Paris,Paříž,Париж,Parijs,Paris,Paris
Wales,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Кардифф,Cardiff,Cardiff,Cardife
Georgia,Tbilisi,Tiflis,Tiflis,Tbilissi,Tbilisi,Tbilisi,Тбилиси,Tbilisi,Tbilisi,Tiblissi
Germany,Berlin,Berlin,Berlín,Berlin,Berlin,Berlín,Берлин,Berlijn,Berlin,Berlim
Greece,Athens,Athen,Atenas,Athènes,Aten,Athény,Афины,Athene,Aten,Atenas
Greenland,Nuuk,Nuuk,Nuuk,Nuuk,Nuuk,Nuuk,Нуук,Nuuk,Nuuk,Nuque
Hungary,Budapest,Budapest,Budapest,Budapest,Budapest,Budapešť,Будапешт,Boedapest,Budapest,Budapeste
Albania,Tirana,Tirana,Tirana,Tirana,Tirana,Tirana,Тирана,Tirana,Tirana,Tirana
Andorra,Andorra la Vella,Andorra la Vella,Andorra la Vieja,Andorre-la-Vieille,Andorra la Vella,Andorra la Vella,Андорра-ла-Велья,Andorra la Vella,Andorra la Vella,Andorra-a-Velha
Austria,Vienna,Wien,Viena,Vienne,Wien,Vídeň,Вена,Wenen,Wien,Viena
Azerbaijan,Baku,Baku,Bakú,Bakou,Baku,Baku,Баку,Bakoe,Baku,Bacu
Belarus,Minsk,Minsk,Minsk,Minsk,Minsk,Minsk,Минск,Minsk,Minsk,Minsque
Belgium,Brussels,Brüssel,Bruselas,Bruxelles,Brussel,Brusel,Брюссель,Brussel,Bryssel,Bruxelas
Bosnia and Herzegovina,Sarajevo,Sarajevo,Sarajevo,Sarajevo,Sarajevo,Sarajevo,Сараево,Sarajevo,Sarajevo,Sarajevo
Bulgaria,Sofia,Sofia,Sofía,Sofia,Sofia,Sofie,София,Sofia,Sofia,Sófia
Croatia,Zagreb,Zagreb,Zagreb,Zagreb,Zagreb,Záhřeb,Загреб,Zagreb,Zagreb,Zagrebe
Czech Republic,Prague,Prag,Praga,Prague,Praha,Praha,Прага,Praag,Prag,Praga
Denmark,Copenhagen,Kopenhagen,Copenhague,Copenhague,København,Kodaň,Копенгаген,Kopenhagen,Köpenhamn,"Copenhague (BR), Copenhaga (PT)"
Estonia,Tallinn,Tallinn,Tallin,Tallinn,Tallinn,Tallinn,Таллинн,Tallinn,Tallinn,Talim
Faroe Islands,Tórshavn,Tórshavn,Tórshavn,Tórshavn,Tórshavn,Tórshavn,Торсхавн,Tórshavn,Tórshavn,Tórshavn
Finland,Helsinki,Helsinki,Helsinki,Helsinki,Helsingfors,Helsinky,Хельсинки,Helsinki,Helsingfors,"Helsinque (BR), Helsínquia (PT)"
Iceland,Reykjavík,Reykjavík,Reikiavik,Reykjavik,Reykjavík,Reykjavík,Рейкьявик,Reykjavik,Reykjavik,Reiquiavique
Ireland,Dublin,Dublin,Dublín,Dublin,Dublin,Dublin,Дублин,Dublin,Dublin,Dublim
Italy,Rome,Rom,Roma,Rome,Roma,Řím,Рим,Rome,Rom,Roma
Latvia,Riga,Riga,Riga,Riga,Riga,Riga,Рига,Riga,Riga,Riga
Liechtenstein,Vaduz,Vaduz,Vaduz,Vaduz,Vaduz,Vaduz,Вадуц,Vaduz,Vaduz,Vaduz
Lithuania,Vilnius,Vilnius,Vilna,Vilnius,Vilnius,Vilnius,Вильнюс,Vilnius,Vilnius,Vilnius
